mode,T_DS_K,gamma,survival,recovery,joint_baseline_host
frozen,500.0,0.2,0.9986666666666667,0.962,0.43633333333333335
frozen,500.0,0.3,0.9986666666666667,0.965,0.43766666666666665
frozen,500.0,0.5,0.9946666666666667,0.963,0.43666666666666665
frozen,500.0,0.7,0.9896666666666667,0.9593333333333334,0.43466666666666665
frozen,500.0,0.9,0.944,0.794,0.36666666666666664
frozen,600.0,0.1,0.9986666666666667,0.9503333333333334,0.43
frozen,600.0,0.2,0.9986666666666667,0.966,0.437
frozen,600.0,0.3,0.9986666666666667,0.9683333333333334,0.438
frozen,600.0,0.5,0.9953333333333333,0.967,0.438
frozen,600.0,0.7,0.9896666666666667,0.963,0.436
frozen,600.0,0.9,0.9636666666666667,0.8393333333333334,0.382
frozen,700.0,0.1,0.9986666666666667,0.9463333333333334,0.42966666666666664
frozen,700.0,0.2,0.9986666666666667,0.9666666666666667,0.43733333333333335
frozen,700.0,0.3,0.9983333333333333,0.967,0.43766666666666665
frozen,700.0,0.5,0.9953333333333333,0.966,0.437
frozen,700.0,0.7,0.9896666666666667,0.9676666666666667,0.437
frozen,700.0,0.9,0.9826666666666667,0.902,0.4136666666666667
frozen_fc,100.0,0.1,0.9986666666666667,0.9193333333333333,0.42233333333333334
frozen_fc,100.0,0.2,0.9986666666666667,0.9483333333333334,0.432
frozen_fc,100.0,0.3,0.9986666666666667,0.9516666666666667,0.43233333333333335
frozen_fc,100.0,0.5,0.9943333333333333,0.9556666666666667,0.43233333333333335
frozen_fc,100.0,0.7,0.988,0.9403333333333334,0.425
frozen_fc,100.0,0.9,0.9183333333333333,0.566,0.26033333333333336
frozen_fc,150.0,0.1,0.9983333333333333,0.9353333333333333,0.42633333333333334
frozen_fc,150.0,0.2,0.9983333333333333,0.9486666666666667,0.432
frozen_fc,150.0,0.3,0.9986666666666667,0.956,0.434
frozen_fc,150.0,0.5,0.9943333333333333,0.9576666666666667,0.432
frozen_fc,150.0,0.7,0.988,0.939,0.42433333333333334
frozen_fc,150.0,0.9,0.919,0.567,0.264
frozen_fc,200.0,0.1,0.9986666666666667,0.9243333333333333,0.424
frozen_fc,200.0,0.2,0.9983333333333333,0.9486666666666667,0.43366666666666664
frozen_fc,200.0,0.3,0.9986666666666667,0.95,0.43333333333333335
frozen_fc,200.0,0.5,0.994,0.952,0.43166666666666664
frozen_fc,200.0,0.7,0.988,0.941,0.426
frozen_fc,200.0,0.9,0.919,0.6106666666666667,0.277
frozen_fc,250.0,0.1,0.998,0.937,0.4266666666666667
frozen_fc,250.0,0.2,0.9986666666666667,0.954,0.435
frozen_fc,250.0,0.3,0.9983333333333333,0.957,0.43433333333333335
frozen_fc,250.0,0.5,0.9943333333333333,0.954,0.433
frozen_fc,250.0,0.7,0.9893333333333333,0.9426666666666667,0.42633333333333334
frozen_fc,250.0,0.9,0.9263333333333333,0.6066666666666667,0.283
frozen_fc,300.0,0.1,0.9986666666666667,0.9386666666666666,0.427
frozen_fc,300.0,0.2,0.9986666666666667,0.9553333333333334,0.43466666666666665
frozen_fc,300.0,0.3,0.9986666666666667,0.961,0.43633333333333335
frozen_fc,300.0,0.5,0.9936666666666667,0.957,0.43466666666666665
frozen_fc,300.0,0.7,0.9896666666666667,0.952,0.432
frozen_fc,300.0,0.9,0.9383333333333334,0.7193333333333334,0.33366666666666667
frozen_fc,400.0,0.1,0.9986666666666667,0.944,0.42766666666666664
frozen_fc,400.0,0.2,0.9986666666666667,0.9613333333333334,0.43566666666666665
frozen_fc,400.0,0.3,0.9986666666666667,0.9626666666666667,0.437
frozen_fc,400.0,0.5,0.9946666666666667,0.9613333333333334,0.43666666666666665
frozen_fc,400.0,0.7,0.9896666666666667,0.959,0.435
frozen_fc,400.0,0.9,0.9396666666666667,0.768,0.3566666666666667
frozen_fc,500.0,0.1,0.9986666666666667,0.9486666666666667,0.42933333333333334
frozen_fc,500.0,0.2,0.9986666666666667,0.9623333333333334,0.43633333333333335
frozen_fc,500.0,0.3,0.9986666666666667,0.965,0.43766666666666665
frozen_fc,500.0,0.5,0.9946666666666667,0.963,0.43666666666666665
frozen_fc,500.0,0.7,0.9896666666666667,0.9593333333333334,0.43466666666666665
frozen_fc,500.0,0.9,0.944,0.794,0.36666666666666664
frozen_fc,600.0,0.1,0.9986666666666667,0.9503333333333334,0.43
frozen_fc,600.0,0.2,0.9986666666666667,0.966,0.437
frozen_fc,600.0,0.3,0.9986666666666667,0.9683333333333334,0.438
frozen_fc,600.0,0.5,0.9953333333333333,0.967,0.438
frozen_fc,600.0,0.7,0.9896666666666667,0.963,0.436
frozen_fc,600.0,0.9,0.9636666666666667,0.8393333333333334,0.382
frozen_fc,700.0,0.1,0.9986666666666667,0.9463333333333334,0.42966666666666664
frozen_fc,700.0,0.2,0.9986666666666667,0.9666666666666667,0.43733333333333335
frozen_fc,700.0,0.3,0.9983333333333333,0.967,0.43766666666666665
frozen_fc,700.0,0.5,0.9953333333333333,0.966,0.437
frozen_fc,700.0,0.7,0.9896666666666667,0.9676666666666667,0.437
frozen_fc,700.0,0.9,0.9826666666666667,0.902,0.4136666666666667
wise_iso_fc,100.0,0.1,0.9986666666666667,0.922,0.423
wise_iso_fc,100.0,0.2,0.9986666666666667,0.9483333333333334,0.432
wise_iso_fc,100.0,0.3,0.9986666666666667,0.9506666666666667,0.43233333333333335
wise_iso_fc,100.0,0.5,0.9943333333333333,0.9546666666666667,0.43233333333333335
wise_iso_fc,100.0,0.7,0.988,0.938,0.42433333333333334
wise_iso_fc,100.0,0.9,0.9183333333333333,0.5586666666666666,0.258
wise_iso_fc,150.0,0.1,0.9983333333333333,0.9346666666666666,0.426
wise_iso_fc,150.0,0.2,0.9983333333333333,0.9483333333333334,0.432
wise_iso_fc,150.0,0.3,0.9986666666666667,0.955,0.434
wise_iso_fc,150.0,0.5,0.9943333333333333,0.9563333333333334,0.43166666666666664
wise_iso_fc,150.0,0.7,0.988,0.9386666666666666,0.42433333333333334
wise_iso_fc,150.0,0.9,0.919,0.563,0.263
wise_iso_fc,200.0,0.1,0.9986666666666667,0.9246666666666666,0.4236666666666667
wise_iso_fc,200.0,0.2,0.9983333333333333,0.9483333333333334,0.43333333333333335
wise_iso_fc,200.0,0.3,0.9986666666666667,0.95,0.433
wise_iso_fc,200.0,0.5,0.994,0.952,0.43166666666666664
wise_iso_fc,200.0,0.7,0.988,0.941,0.426
wise_iso_fc,200.0,0.9,0.919,0.6093333333333333,0.2763333333333333
wise_iso_fc,250.0,0.1,0.998,0.9343333333333333,0.426
wise_iso_fc,250.0,0.2,0.9986666666666667,0.954,0.435
wise_iso_fc,250.0,0.3,0.9983333333333333,0.957,0.43433333333333335
wise_iso_fc,250.0,0.5,0.9943333333333333,0.9536666666666667,0.43266666666666664
wise_iso_fc,250.0,0.7,0.9893333333333333,0.942,0.426
wise_iso_fc,250.0,0.9,0.9256666666666666,0.5996666666666667,0.2796666666666667
wise_iso_fc,300.0,0.1,0.9986666666666667,0.9376666666666666,0.42633333333333334
wise_iso_fc,300.0,0.2,0.9986666666666667,0.9553333333333334,0.43466666666666665
wise_iso_fc,300.0,0.3,0.9986666666666667,0.9603333333333334,0.43633333333333335
wise_iso_fc,300.0,0.5,0.9936666666666667,0.9566666666666667,0.43466666666666665
wise_iso_fc,300.0,0.7,0.9896666666666667,0.9506666666666667,0.43166666666666664
wise_iso_fc,300.0,0.9,0.9376666666666666,0.7123333333333334,0.33
wise_iso_fc,400.0,0.1,0.9986666666666667,0.9433333333333334,0.42766666666666664
wise_iso_fc,400.0,0.2,0.9986666666666667,0.9613333333333334,0.43566666666666665
wise_iso_fc,400.0,0.3,0.9986666666666667,0.9626666666666667,0.437
wise_iso_fc,400.0,0.5,0.9946666666666667,0.9613333333333334,0.43666666666666665
wise_iso_fc,400.0,0.7,0.9896666666666667,0.9593333333333334,0.435
wise_iso_fc,400.0,0.9,0.9396666666666667,0.768,0.3566666666666667
wise_iso_fc,500.0,0.1,0.9986666666666667,0.9483333333333334,0.429
wise_iso_fc,500.0,0.2,0.9986666666666667,0.962,0.43633333333333335
wise_iso_fc,500.0,0.3,0.9986666666666667,0.965,0.43766666666666665
wise_iso_fc,500.0,0.5,0.9946666666666667,0.963,0.43666666666666665
wise_iso_fc,500.0,0.7,0.9896666666666667,0.9593333333333334,0.43466666666666665
wise_iso_fc,500.0,0.9,0.944,0.7943333333333333,0.36666666666666664
wise_iso_fc,600.0,0.1,0.9986666666666667,0.9503333333333334,0.43
wise_iso_fc,600.0,0.2,0.9986666666666667,0.966,0.437
wise_iso_fc,600.0,0.3,0.9986666666666667,0.968,0.438
wise_iso_fc,600.0,0.5,0.9953333333333333,0.967,0.438
wise_iso_fc,600.0,0.7,0.9896666666666667,0.963,0.436
wise_iso_fc,600.0,0.9,0.9636666666666667,0.8393333333333334,0.382
wise_iso_fc,700.0,0.1,0.9986666666666667,0.9463333333333334,0.42966666666666664
wise_iso_fc,700.0,0.2,0.9986666666666667,0.9666666666666667,0.43733333333333335
wise_iso_fc,700.0,0.3,0.9983333333333333,0.967,0.43766666666666665
wise_iso_fc,700.0,0.5,0.9953333333333333,0.966,0.437
wise_iso_fc,700.0,0.7,0.9896666666666667,0.9676666666666667,0.437
wise_iso_fc,700.0,0.9,0.9826666666666667,0.902,0.4136666666666667
