source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_flux_over_error,phot_bp_mean_flux_over_error,phot_rp_mean_flux_over_error,bp_rp,ruwe,w1mpro,w1mpro_error,w2mpro,w2mpro_error,w3mpro,w3mpro_error,w4mpro,w4mpro_error,wise_cc_flags,wise_ext_flag,j_m,j_msigcom,h_m,h_msigcom,ks_m,ks_msigcom,distance_invparallax_pc,M_G_invparallax,heph_cmd_main_sequence,T_colorfit_K,baseline_rms_mag,Fbol_fit_Wm2,mir_resid_proxy,saturation_flag,template_id,_origin
4160666795398010240,13.120804,14.535206,11.954887,1930.6769,444.95126,1433.9637,2.5803185,1.0779047,9.392,0.022,9.25,0.02,9.114,0.041,8.814,0.419,0dh0,0.0,10.44,0.024,9.802,0.024,9.534,0.021,36.49986035283849,10.309347985677585,True,3262.7551278695223,0.1429607041009271,3.2453109254718297e-13,,,,validation
357578743476642048,13.355287,14.768757,12.192747,2234.2095,926.05945,1767.703,2.5760098,1.328895,9.609,0.022,9.485,0.02,9.34,0.034,8.997,0.455,0000,0.0,10.607,0.025,10.014,0.032,9.781,0.019,40.28126132662703,10.329771694239383,True,3456.0365785593667,0.1164094147063325,2.899901479585016e-13,,,,validation
4575280707395399424,12.451595,13.839198,11.28415,2137.6301,509.76758,1001.50336,2.555048,1.3139781,8.723,0.024,8.579,0.021,8.447,0.023,8.516,0.291,0000,0.0,9.695,0.022,9.136,0.023,8.877,0.02,26.092359884121816,10.369028200071227,True,3476.80355799199,0.1082883048003063,6.835525222085332e-13,,,,validation
1362884318063104640,13.351641,14.868584,12.1537285,1706.6866,413.36172,950.55817,2.7148552,1.1646048,9.511,0.022,9.353,0.02,9.212,0.026,8.467,0.185,h000,0.0,10.499,0.021,9.921,0.02,9.641,0.014,39.020691054007024,10.395166217725908,True,3375.6924777191234,0.126045336812643,3.214678756696941e-13,,,,validation
2131364330800527872,13.305207,14.405236,11.8289995,963.2575,406.23312,675.8999,2.5762367,10.047692,9.246,0.023,9.076,0.02,8.966,0.026,9.144,0.36,0000,0.0,10.22,0.023,9.697,0.033,9.432,0.022,37.65303662720312,10.426206966206465,True,3557.265122744668,0.0759695175459813,4.289286333736383e-13,,,,validation
4847504363206652160,13.451898,14.87321,12.287129,2314.458,617.09424,1824.9801,2.5860806,1.1502761,9.724,0.023,9.569,0.02,9.429,0.029,9.144,0.368,0000,0.0,10.738,0.022,10.156,0.021,9.882,0.019,39.7876096690769,10.453158756481244,True,3380.589880219907,0.1127855468405043,2.5738636464995535e-13,,,,validation
4269294730306503936,12.337047,13.819059,11.145191,1204.1703,312.04562,833.1746,2.6738682,1.2650502,8.492,0.022,8.368,0.019,8.307,0.033,8.326,0.312,0o00,0.0,9.503,0.022,8.904,0.026,8.656,0.028,23.349491985128367,10.495659819698249,True,3402.8306509164163,0.1246088205223115,7.850416636020808e-13,,,,validation
1858251208752080384,14.003562,14.547028,12.133345,293.2676,223.85408,940.1354,2.413683,4.827238,9.674,0.023,9.549,0.02,9.435,0.035,8.919,0.472,dd00,0.0,10.632,0.024,10.071,0.03,9.824,0.02,49.39344852424944,10.53521525724965,True,3503.162901323802,0.1162399494761434,2.840762936285774e-13,,,,validation
2186377291285211136,13.474388,14.806898,12.336694,2469.6025,522.78986,1197.3904,2.4702044,1.1114359,9.855,0.022,9.702,0.02,9.555,0.028,9.376,0.376,0000,0.0,10.853,0.021,10.253,0.021,10.024,0.014,38.09068753771365,10.570293941218726,True,3448.3201659748784,0.110406358198069,2.3892415067257774e-13,,,,validation
6358927234687753088,13.527983,15.112049,12.308372,2676.3784,629.1905,1310.5272,2.8036776,1.3147395,9.646,0.023,9.473,0.02,9.304,0.034,9.096,0.521,0000,0.0,10.596,0.024,10.053,0.024,9.784,0.021,38.38748758007728,10.607034555304423,True,3492.5655665713707,0.1044460985500204,2.95759811292238e-13,,,,validation
